A 8.4966% 43.31
B 2.0720% 10.56
C 4.5388% 23.13
D 3.3844% 17.25
E 11.1607% 56.88
F 1.8121% 9.24
G 2.4705% 12.59
H 3.0034% 15.31
I 7.5448% 38.45
J 0.1965% 1.00
K 1.1016% 5.61
L 5.4893% 27.98
M 3.0129% 15.36
N 6.6544% 33.92
O 7.1635% 36.51
P 3.1671% 16.14
Q 0.1962% 1.00
R 7.5809% 38.64
S 5.7351% 29.23
T 6.9509% 35.43
U 3.6308% 18.51
V 1.0074% 5.13
W 1.2899% 6.57
X 0.2902% 1.48
Y 1.7779% 9.06
Z 0.2722% 1.39

A	43.31
B	10.56
C	23.13
D	17.25
E	56.88
F	9.24
G	12.59
H	15.31
I	38.45
J	1
K	5.61
L	27.98
M	15.36
N	33.92
O	36.51
P	16.14
Q	1
R	38.64
S	29.23
T	35.43
U	18.51
V	5.13
W	6.57
X	1.48
Y	9.06
Z	1.39


65	43.31
66	10.56
67	23.13
68	17.25
69	56.88
70	9.24
71	12.59
72	15.31
73	38.45
74	1
75	5.61
76	27.98
77	15.36
78	33.92
79	36.51
80	16.14
81	1
82	38.64
83	29.23
84	35.43
85	18.51
86	5.13
87	6.57
88	1.48
89	9.06
90	1.39

41	43.31
42	10.56
43	23.13
44	17.25
45	56.88
46	9.24
47	12.59
48	15.31
49	38.45
4A	1
4B	5.61
4C	27.98
4D	15.36
4E	33.92
4F	36.51
50	16.14
51	1
52	38.64
53	29.23
54	35.43
55	18.51
56	5.13
57	6.57
58	1.48
59	9.06
5A	1.39

